"","Gender","weight","income","rating","Marstatus","CityCentral"
"1","Male","89","50000","5","Married","Yes"
"2","Male","75","95000","1","Married","No"
"3","Male","88","120000","2","Single","Yes"
"4","Male","75","8e+05","4","Single","Yes"
"5","Male","49","650000","9","Single","Yes"
"6","Male","89","92000","9","Single","Yes"
"7","Male","110","94000","8","Divorced","Yes"
"8","Male","120","222000","1","Single","Yes"
"9","Male","89","543000","9","Married","No"
"10","Male","75","75000","7","Single","Yes"
"11","FeMale","75","63000","5","Married","No"
"12","FeMale","76","40000","6","Single","No"
"13","FeMale","87","99000","6","Single","Yes"
"14","FeMale","110","450000","1","Divorced","Yes"
"15","FeMale","67","180000","1","Single","No"
"16","FeMale","76","190000","1","Single","Yes"
"17","FeMale","43","96000","3","Divorced","No"
"18","FeMale","55","780000","6","Single","Yes"
"19","FeMale","59","150000","9","Married","No"
"20","FeMale","60","342000","4","Divorced","No"
